review_text,rating
delicious,4
the workers are sweet and kind food amazing,5
preet was very helpful and cordial he keeps the pizzeria clean and is friendly i will order here whenever i’m in the area also love that it is open  i picked up a half mckinleypep ham and pineapple,5
good service very tasty food,5
very good and tasty place,5
ordered on doordash and the food was ready and warm when i picked up open ,5
bueno para comer,4
shout out to sorat she helped me with grace eventhough it was very busy great pizza highly recommended,5
this is my favorite mountain mike’s location because the staff is so warm and caring especially sirat the food tastes even better than other locations will definitely return,5
pizza is either not done in time for carry out or delivered  minutes ahead of time good food but i do not like the customer service at all,1
kaivee is very nice guy come and visit at night ,5
"kaivee is very nice guy hes make a pizza verry good and delicious i like it service is also very good i suggest to all person came here its my personal experience
thankyou",5
great pizza and great service available  hours a day,5
"the food was quite average and took a really long time

price on menu was  for a mountain pizza but we got charged almost  the cashier came up with the excuse saying the menu was outdated",1
we basically took over the whole place with our hockey team they were great about the noise and all the kids,5
el lugar  cierra  antes  del horario  que aparece  aquí así que ven antes,1
first time there seems like a family owned business they were cheerful and friendly and im happy to have ordered the spaghetti garlicawesome i loved it try it for yourself,5
cashier girl was a little rude for no reason  but food was bomb i got the chicken alfredo pasta,4
the pizza was way too much cheese staff unfriendly,4
i ordered through the slice app and got a message saying the calzone was done i got there they still needed about  minutes i sat in the parking lot and went back the kooks on me come in and pulled my calzone out even though it was still white i ordered two extra size of meat sauce instead of taking my order out i ate in the restaurant and asked the chef if she was sure she gave me meat sauce she said yes i then asked her why theres no meat in it she says its pureed and you would not be able to see even any tiny specks of meat then i got to the end of my calzone and i had this overwhelming taste of mold in my mouth so my cook was a liar and might have been trying to kill me the help she had was great and kind ,1
meatball sandwich yes,5
love the pizza here i get it often have been coming here for more than  years and they never disappoint,5
under new ownership  unfortunately the pizza was better before  employees are nice though,3
delicious family style pizza great prices friendly staff customer parking available solid  out of ,5
las mejores pizzas pizza OK_hand face_savoring_food,5
"el interior esta muy chiquito
la pizza esta buena",4
great pizza great italian restaurant try the meatball sandwich sandwich,5
quick service great pizza pizzaface_savoring_food,5
great chicken alfredo indoor and outdoor seating,5
"good saluting_face
la mejor pizza y el mejor servicio",5
ive been walking by this place for  years and finally went in  ordered my goto pizza and the crust was a revelation good ingredients and quality onions the owners are friendly laid back vibe i am definitely coming back,5
ordered a spaghetti with meat from this place with my grubhub app  i must say it was good smelled amazing and seasoned well it had a great taste i really enjoyed it and it seemed rather fresh i wanted to leave a review since i liked it so much i do plan to try more foods from this location in hopes of experiencing the same quality from there other dishs,5
very amazing food and their nice people thumbs_up,5
great pizza place,5
i like that one guy that comes to work every sunday,5
worst pasta i have ever tasted  for so terrible i couldnt even swallow it ended up ordering from another place immediately i legitimately want my money back,1
realmente recomiendo este lugar probé la lasaña y la pasta realmente deliciosa la persona que me atendió también muy amable,5
pizza pizza,4
have been eating fast pizza for years now always prompt on delivery but best of all is the customer service,5
toppings galore amazing fresh taste and wonderful service  i love a great homey pizza pie and this is it ,5
ive been going here for over  years its consistently good and generous with their toppings friendly staff,5
fast pizza delivery,5
fast pizza delivery,5
best tasting pizza to go,5
it is interesting that the name of business is fast pizza delivery but they dont deliver,1
"the best highest quality pizza ingredients polite service  i recommend the family  topping wings and garlic bread  average delivery time in my experience is  minutes  try them out
alejandro valdez thumbs_upcheck_mark_button",5
fast pizza is a haven for pizza aficionados seeking quick delicious meals with a menu offering everything from classic pepperoni to gourmet specialties each pizza is freshly madetoorder with quality ingredients that ensure a perfect balance of flavors and textures they are able to customize any pizza you want i usually order an xl  double pepperoni and  combination since moving away i find myself yearning for fast pizza daily—not just for its amazing food but for the memories of shared meals with friends and moments of pure enjoyment its more than just pizza its a nostalgic experience that i dearly miss making fast pizza a cherished favorite wherever you are  i have tried every pizza place in my new neighborhood and is just left disapointed if you are lucky enough to live close do yourself a favor and enjoy life a little more by eating this food fit for a king,5
i use to work across the plaza at the sherwin williams location and every time i got a pizza here they were fast good quality and the owner was the nicest guy ever prices are fair honestly,5
fast delivery better than mt mikes ,5
"not fast but straight house salad—its the bomb order your favorite salad to complete
ca",4
been coming here for  years pizza is always on point great place,5
delivery service is always rude every time i deliver i live in the apartment complex so when they get here seconds after they’re rushing me to come downstairs no please nor a call five minutes  minutes ahead of time,1
lunch on  ordered a medium half buffalo mac and half banh mi staff was nice  toppings were ok but i wasnt a super big fan of the pizza base it tasted pretty bland and store bought,3
pretty much anything you get on the menu is delicious i had a great time and i would go back again everything on the menu is some kind of a pizza but it was all good,5
have a plan b i still like the place but it’s open intermittently,3
love there pizza please ship to pennsylvania smiling_face_with_smiling_eyes,5
