review_id,review_text,rating,review_datetime_utc,review_timestamp,review_link,review_photos,review_language,like_count,author_id,author_link,author_name,author_photo_url,author_review_count,owner_response_datetime_utc,owner_response_timestamp,owner_response_text,owner_response_language,author_reviews_link,author_local_guide_level,service_quality,review_source,hotel_rating_breakdown.Food,hotel_rating_breakdown.Service,hotel_rating_breakdown.Atmosphere,"review_form.Did you dine in, take out, or get delivery?",review_form.What did you get?,review_form.How much did you spend per person?,review_form.Would you recommend this place to vegetarians?,review_form.How would you describe the vegetarian offerings?,review_form.How is the parking here?,review_form.What parking options are available?,review_form.Can you share more about these topics?,hotel_rating_breakdown,review_form.Which dishes do you recommend?,review_form
ChdDSUhNMG9nS0VJQ0FnTUNnX292Q19RRRAB,Bueno para comer,4,2025-02-17T20:54:58.433Z,1739825698,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnTUNnX292Q19RRRAB!2m1!1s0x0:0x5451c11476f8986f!3m1!1s2@1:CIHM0ogKEICAgMCg_ovC_QE%7CCgwIosTOvQYQwKfizgE%7C?hl=en,,es,0,100268690285140024227,https://www.google.com/maps/contrib/100268690285140024227?hl=en,Joe nogueyra,https://lh3.googleusercontent.com/a/ACg8ocIT9A76jOa8I3_8CMgosY8NvSV01UGzBDvJDQjRH0b6VWi0Uw=s120-c-rp-mo-br100,4.0,,,,,https://www.google.com/maps/contrib/100268690285140024227/reviews?hl=en,3.0,,Google,4.0,4.0,4.0,Take out,Other,$50–100,,,,,,,,
ChdDSUhNMG9nS0VJQ0FnTUNnOHZySHZ3RRAB,Shout out to sorat she helped me with grace eventhough it was very busy great pizza highly recommended,5,2025-02-15T19:18:46.054Z,1739647126,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnTUNnOHZySHZ3RRAB!2m1!1s0x0:0x5451c11476f8986f!3m1!1s2@1:CIHM0ogKEICAgMCg8vrHvwE%7CCgsIltHDvQYQ4JybGg%7C?hl=en,,en,0,105111603709271017469,https://www.google.com/maps/contrib/105111603709271017469?hl=en,Victor Perez,https://lh3.googleusercontent.com/a/ACg8ocKKiUCwA1n3yFJGkzanosbQppblz70IwByrC3zLVLvmICB-Ew=s120-c-rp-mo-br100,2.0,2025-02-16T18:54:32.000Z,1739732072.0,Thank you for sharing your 5-star review! We truly appreciate you spreading the word about our San Jose Mountain Mike's Pizza team. We look forward to serving you again very soon!,en,https://www.google.com/maps/contrib/105111603709271017469/reviews?hl=en,,,Google,5.0,5.0,5.0,,,$50–100,,,,,,,,
ChZDSUhNMG9nS0VJQ0FnTURBXzRtZ0pBEAE,"This is my favorite Mountain Mike’s location because the staff is so warm and caring, especially Sirat. The food tastes even better than other locations. Will definitely return!!",5,2025-02-13T03:50:03.500Z,1739418603,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnTURBXzRtZ0pBEAE!2m1!1s0x0:0x5451c11476f8986f!3m1!1s2@1:CIHM0ogKEICAgMDA_4mgJA%7CCgwI69e1vQYQ2KDV7gE%7C?hl=en,,en,0,114349873474209908349,https://www.google.com/maps/contrib/114349873474209908349?hl=en,Danielle Gomez,https://lh3.googleusercontent.com/a/ACg8ocKFGp627JtcjgOLEom6DOusmv_y9uAkQkbA6idR1jHX3Wfi3Q=s120-c-rp-mo-br100,3.0,2025-02-14T14:03:32.000Z,1739541812.0,"Thank you, Danielle! We're thrilled to hear that you love our Mountain Mike's location and appreciate our caring staff, especially Sirat. It's great to know our food exceeded your expectations! We can't wait to welcome you back for more delicious pizza!",en,https://www.google.com/maps/contrib/114349873474209908349/reviews?hl=en,,,Google,5.0,5.0,5.0,Dine in,Dinner,$10–20,Highly recommend,"Large vegetarian selection,Clearly labeled vegetarian dishes",Plenty of parking,Free parking lot,"Vegetarian options,Parking",,,
ChdDSUhNMG9nS0VJQ0FnTURBemZyTDBnRRAB,,5,2025-02-11T01:56:15.072Z,1739238975,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnTURBemZyTDBnRRAB!2m1!1s0x0:0x5451c11476f8986f!3m1!1s2@1:CIHM0ogKEICAgMDAzfrL0gE%7CCgsIv9yqvQYQ0L3bIg%7C?hl=en,,,0,101117041619553099508,https://www.google.com/maps/contrib/101117041619553099508?hl=en,Angeline D,https://lh3.googleusercontent.com/a-/ALV-UjUBPJSJT53biFG_Qa8GZhxrelTbiPbEKl4PZRmzCtYb1epIJyl1=s120-c-rp-mo-br100,8.0,2025-02-11T23:18:54.000Z,1739315934.0,Hey Angeline! We at Mountain Mike's Pizza take great pride in ensuring our guests are happy and satisfied. We look forward to serving you again soon and hope you have a fantastic day!,en,https://www.google.com/maps/contrib/101117041619553099508/reviews?hl=en,3.0,,Google,,,,Delivery,Dinner,$20–30,,,,,,,Large Pepperoni Pizza,
ChdDSUhNMG9nS0VJQ0FnSURfa29femhBRRAB,"Pizza is either not done in time for carry out, or delivered 45 minutes ahead of time. Good food, but I do not like the customer service at all.",1,2025-01-23T01:35:39.647Z,1737596139,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSURfa29femhBRRAB!2m1!1s0x0:0x5451c11476f8986f!3m1!1s2@1:CIHM0ogKEICAgID_ko_zhAE%7CCgwI67nGvAYQyNbRtAI%7C?hl=en,,en,0,101098454793235746909,https://www.google.com/maps/contrib/101098454793235746909?hl=en,Kristean Björkman,https://lh3.googleusercontent.com/a-/ALV-UjUXbUzDoTHKugdYBDrCPFMBYxsnXycwqMwk5VzDjeCrTU5JQmpq=s120-c-rp-mo-br100,3.0,2025-01-23T21:59:16.000Z,1737669556.0,"Hi Kristean, we sincerely apologize for the inconvenience with your carryout and delivery times. We appreciate your feedback as it helps us improve our service. We're glad to hear you enjoy our food, and we will work on ensuring a better experience in the future. Thank you for bringing this to our attention.",en,https://www.google.com/maps/contrib/101098454793235746909/reviews?hl=en,2.0,,Google,5.0,3.0,2.0,Delivery,Dinner,$50–100,,,,,,,,
ChZDSUhNMG9nS0VJQ0FnSURmLWNlZ1hBEAE,kaivee is very nice guy come and visit at night .,5,2025-01-08T10:34:27.855Z,1736332467,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSURmLWNlZ1hBEAE!2m1!1s0x0:0x5451c11476f8986f!3m1!1s2@1:CIHM0ogKEICAgIDf-cegXA%7CCgwIs6n5uwYQwKH6lwM%7C?hl=en,,en,0,117913528368350465877,https://www.google.com/maps/contrib/117913528368350465877?hl=en,Karampal Singh,https://lh3.googleusercontent.com/a/ACg8ocJoqsXwBbvtbP86FBppzXNPnfCFqjrCB9gcq2OBa__9uAIJfw=s120-c-rp-mo-br100,1.0,2025-01-08T22:00:38.000Z,1736373638.0,It makes our day hearing about how much our guests love our San Jose Mountain Mike's Pizza team's service. We look forward to continuing to be your go-to pizza restaurant in town!,en,https://www.google.com/maps/contrib/117913528368350465877/reviews?hl=en,1.0,,Google,5.0,5.0,5.0,,,,,,,,,,,
ChZDSUhNMG9nS0VJQ0FnSURmLWZ2Y1JBEAE,"Kaivee is very nice guy. He's make a pizza verry good and delicious. I like it. Service is also very good. I suggest to all person came here. It's my personal experience.
Thankyou.",5,2025-01-08T10:32:47.498Z,1736332367,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSURmLWZ2Y1JBEAE!2m1!1s0x0:0x5451c11476f8986f!3m1!1s2@1:CIHM0ogKEICAgIDf-fvcRA%7CCgwIz6j5uwYQgIvN7QE%7C?hl=en,,en,0,108131586749937927591,https://www.google.com/maps/contrib/108131586749937927591?hl=en,Jobn Preet,https://lh3.googleusercontent.com/a-/ALV-UjWgWUJ9v8y5taz3JgsePQ3VJCRb4D0RxDriF7QyHQKvT9Yd0HvU=s120-c-rp-mo-br100,1.0,2025-01-08T21:59:52.000Z,1736373592.0,It makes our day hearing about how much our guests love our San Jose Mountain Mike's Pizza team's service. We look forward to continuing to be your go-to pizza restaurant in town!,en,https://www.google.com/maps/contrib/108131586749937927591/reviews?hl=en,2.0,,Google,5.0,5.0,5.0,,,,,,,,,,,
ChZDSUhNMG9nS0VJQ0FnSURmdHNMWlJREAE,Great pizza and great service available 24 hours a day!,5,2025-01-06T10:33:10.842Z,1736159590,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSURmdHNMWlJREAE!2m1!1s0x0:0x5451c11476f8986f!3m1!1s2@1:CIHM0ogKEICAgIDftsLZRQ%7CCgwI5uLuuwYQgPPckQM%7C?hl=en,,en,0,113705833791875915673,https://www.google.com/maps/contrib/113705833791875915673?hl=en,Alex Zambrano,https://lh3.googleusercontent.com/a/ACg8ocKVVqutTNQd07AGcg3XZ6HTDq3Iej39TeSATdAk3eaBLCp4bA=s120-c-rp-mo-br100,1.0,2025-01-06T20:25:38.000Z,1736195138.0,"Thanks for the fantastic review! We're glad you had a great experience. For even more value, check out our Mountain Rewards® mobile app, where you can find exclusive deals and promotions. We hope to see you again soon! https://www.mountainmikespizza.com/rewards/",en,https://www.google.com/maps/contrib/113705833791875915673/reviews?hl=en,,,Google,5.0,5.0,5.0,Take out,,,,,,,,,,
ChZDSUhNMG9nS0VJQ0FnSUNCZ1BULWVnEAE,"the food was quite average and took a REALLY long time

price on menu was $36.99 for a mountain pizza, but we got charged almost $60, the cashier came up with the excuse saying the menu was outdated",1,2022-12-13T22:59:26.326Z,1670972366,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUNCZ1BULWVnEAE!2m1!1s0x0:0x5451c11476f8986f!3m1!1s2@1:CIHM0ogKEICAgICBgPT-eg%7CCgsIyu7cuwYQsPveag%7C?hl=en,"['https://lh3.googleusercontent.com/geougc-cs/AIHozJLsKd9sL1iKX8PB0sXRoofbVZ7s8ns-fMBxZbVsEGlsKUxZD8vpbEHxjttkQc-ud0lJfVZrTJ4AsEouzPjzRwemWsqCG_vZQ5ef2P-uy9JWmz1e5VwgYY8cHIH8W72i9Q7vgqKVqA', 'https://lh3.googleusercontent.com/geougc-cs/AIHozJJcCMbY6Gn5uL3Y4W7w0UlDYnlWlFj20MbuTpymQDAmms21INDylfUP36hEg_LfJxlYh3NuXyAf7wM5afsp70Ah3JoYXPl6TVJtzYq-csPtPkOh1LBCv7Q7wojVTcUX40WPqdC9']",en,0,100344007115157328866,https://www.google.com/maps/contrib/100344007115157328866?hl=en,who am i,https://lh3.googleusercontent.com/a-/ALV-UjUWsFmv8VCNg2pTgQrx0Wb24j79R2azpg7P7GKv8y867RQsu_eZ=s120-c-rp-mo-br100,2.0,2022-12-13T23:46:44.000Z,1670975204.0,We apologize for the inconvenience and appreciate your feedback. Please visit our website's contact form to provide details so we can make things right promptly. Thank you for bringing this to our attention.,en,https://www.google.com/maps/contrib/100344007115157328866/reviews?hl=en,2.0,,Google,,,,Dine in,Lunch,,,,,,,,,
ChZDSUhNMG9nS0VJQ0FnSUNmcXBmZ2FBEAE,We basically took over the whole place with our hockey team! They were great about the noise and all the kids!,5,2024-12-28T02:15:40.270Z,1735352140,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUNmcXBmZ2FBEAE!2m1!1s0x0:0x5451c11476f8986f!3m1!1s2@1:CIHM0ogKEICAgICfqpfgaA%7CCgwIzL69uwYQiJj5gAE%7C?hl=en,,en,0,102506315777908680920,https://www.google.com/maps/contrib/102506315777908680920?hl=en,Kelsey Slinkard,https://lh3.googleusercontent.com/a/ACg8ocILo4hqhr3mDo4CA9NIR2yUbKroeGF3Pp3Ugq2nlSqI4Byqjg=s120-c-rp-mo-br100,1.0,2024-12-28T11:58:39.000Z,1735387119.0,"Kelsey, thank you for the feedback and share! Our San Jose Mountain Mike's Pizza team looks forward to serving you again!",en,https://www.google.com/maps/contrib/102506315777908680920/reviews?hl=en,,,Google,5.0,5.0,5.0,Dine in,Dinner,$100+,,,,,,,,
